from,to,relation,weight
thi,she,1,3
thi,jro,1,3
thi,osc,1,3
thi,cvo,1,3
thi,wpo,1,3
thi,rad,1,3
thi,bga,1,3
thi,hje,1,3
thi,hoh,1,3
thi,fre,1,3
thi,bsu,1,3
thi,vbb,2,3
thi,jak,4,1
thi,vrg,2,2
thi,vfp,2,2
thi,fbm,6,2
thi,wku,5,1
thi,dag,4,1
thi,gbu,5,1
thi,jkl,5,1
thi,tbe,5,1
thi,vze,5,1
thi,fmi,5,1
thi,vst,2,2
she,thi,1,3
she,jro,1,3
she,osc,1,3
she,cvo,1,3
she,wpo,1,3
she,rad,1,3
she,bga,1,3
she,hje,1,3
she,hoh,1,3
she,fre,1,3
she,bsu,1,3
she,vbb,2,3
she,vrg,2,2
she,vfp,2,2
she,wku,5,1
she,dag,4,1
she,jkl,5,1
she,tbe,5,1
she,vze,5,1
she,fmi,5,1
she,vst,2,1
jro,thi,1,3
jro,she,1,3
jro,osc,1,3
jro,cvo,1,3
jro,wpo,1,3
jro,rad,1,3
jro,bga,1,3
jro,hje,1,3
jro,hoh,1,3
jro,fre,1,3
jro,bsu,1,3
jro,vbb,2,3
jro,jkl,5,1
jro,tbe,5,1
jro,vze,5,1
jro,vst,2,2
osc,thi,1,3
osc,she,1,3
osc,jro,1,3
osc,cvo,1,3
osc,wpo,1,3
osc,rad,1,3
osc,bga,1,3
osc,hje,1,3
osc,hoh,1,3
osc,fre,1,3
osc,bsu,1,3
osc,vbb,2,3
osc,vrg,2,2
osc,vfp,2,2
osc,fbm,NA,2
osc,sne,NA,1
osc,wku,5,1
osc,aka,NA,1
osc,gbu,5,1
osc,jkl,5,1
osc,tbe,5,1
osc,vze,5,1
osc,fmi,5,1
osc,tlo,NA,
osc,vsd,NA,
osc,vst,2,2
osc,dfl,2,2
osc,kcl,NA,
osc,fpl,NA,
cvo,thi,1,3
cvo,she,1,3
cvo,jro,1,3
cvo,osc,1,3
cvo,wpo,1,3
cvo,rad,1,3
cvo,bga,1,3
cvo,hje,1,3
cvo,hoh,1,3
cvo,fre,1,3
cvo,bsu,1,3
cvo,vbb,2,2
cvo,vrg,2,2
cvo,vfp,2,2
cvo,wku,5,1
cvo,aka,NA,
cvo,gbu,5,1
cvo,jkl,5,1
cvo,tbe,5,1
cvo,vze,5,1
cvo,fmi,5,1
cvo,vsd,NA,
cvo,vst,2,2
cvo,dfl,NA,
cvo,kcl,NA,
cvo,fpl,2,2
wpo,thi,1,3
wpo,she,1,3
wpo,jro,1,3
wpo,osc,1,3
wpo,cvo,1,3
wpo,rad,1,3
wpo,bga,1,3
wpo,hje,1,3
wpo,hoh,1,3
wpo,fre,1,3
wpo,bsu,1,3
wpo,vbb,2,2
wpo,vrg,2,2
wpo,vfp,2,2
wpo,wku,5,1
wpo,dag,2,2
wpo,gbu,5,1
wpo,jkl,5,1
wpo,tbe,5,1
wpo,vze,5,1
wpo,fmi,5,1
wpo,dmo,2,2
wpo,vst,2,2
rad,thi,1,3
rad,she,1,3
rad,jro,1,3
rad,osc,1,3
rad,cvo,1,3
rad,wpo,1,3
rad,bga,1,3
rad,hje,1,3
rad,hoh,1,3
rad,fre,1,3
rad,bsu,1,3
rad,vbb,2,2
rad,vrg,2,2
rad,vfp,2,2
rad,fbm,6,2
rad,wku,5,1
rad,gbu,5,1
rad,jkl,5,1
rad,tbe,5,1
rad,vze,5,1
rad,fmi,5,1
rad,vst,2,2
bga,thi,1,3
bga,she,1,3
bga,jro,1,3
bga,osc,1,3
bga,cvo,1,3
bga,wpo,1,3
bga,rad,1,3
bga,hje,1,3
bga,hoh,1,3
bga,fre,1,3
bga,bsu,1,3
bga,vbb,2,2
bga,vrg,2,2
bga,vfp,2,2
bga,fbm,6,2
bga,wku,5,1
bga,gbu,5,1
bga,jkl,5,1
bga,tbe,5,1
bga,vze,5,1
bga,fmi,5,1
bga,vst,2,2
hje,thi,1,3
hje,she,1,3
hje,jro,1,3
hje,osc,1,3
hje,cvo,1,3
hje,wpo,1,3
hje,rad,1,3
hje,bga,1,3
hje,hoh,1,3
hje,fre,1,3
hje,bsu,1,3
hje,vbb,2,2
hje,vrg,2,2
hje,vfp,2,2
hje,fbm,6,2
hje,wku,5,1
hje,aka,2,2
hje,gbu,5,1
hje,jkl,5,1
hje,tbe,5,1
hje,vze,5,1
hje,fmi,5,1
hje,vst,2,2
hoh,thi,1,3
hoh,she,1,3
hoh,jro,1,3
hoh,osc,1,3
hoh,cvo,1,3
hoh,wpo,1,3
hoh,rad,1,3
hoh,bga,1,3
hoh,hje,1,3
hoh,fre,1,3
hoh,bsu,1,3
hoh,vbb,2,2
hoh,vrg,2,2
hoh,vfp,2,2
hoh,fbm,6,2
hoh,wku,5,1
hoh,gbu,5,1
hoh,jkl,5,1
hoh,tbe,5,1
hoh,vze,5,1
hoh,fmi,5,1
hoh,vst,2,2
fre,thi,1,3
fre,she,1,3
fre,jro,1,3
fre,osc,1,3
fre,cvo,1,3
fre,wpo,1,3
fre,rad,1,3
fre,bga,1,3
fre,hje,1,3
fre,hoh,1,3
fre,bsu,1,3
fre,vbb,2,2
fre,mbb,2,2
fre,mbe,2,2
fre,vrg,2,2
fre,vfp,2,2
fre,fbm,6,2
fre,wku,5,1
fre,gbu,5,1
fre,jkl,5,1
fre,tbe,5,1
fre,vze,5,1
fre,fmi,5,1
fre,vst,2,2
bsu,thi,1,3
bsu,she,1,3
bsu,jro,1,3
bsu,osc,1,3
bsu,cvo,1,3
bsu,wpo,1,3
bsu,rad,1,3
bsu,bga,1,3
bsu,hje,1,3
bsu,hoh,1,3
bsu,fre,1,3
bsu,vbb,2,2
bsu,vrg,2,2
bsu,vfp,2,2
bsu,fbm,6,2
bsu,wku,5,1
bsu,gbu,5,1
bsu,jkl,5,1
bsu,tbe,5,1
bsu,vze,5,1
bsu,fmi,5,1
bsu,vst,2,2
vbb,thi,2,2
vbb,she,2,2
vbb,jro,2,2
vbb,osc,2,2
vbb,cvo,2,2
vbb,wpo,2,2
vbb,rad,2,2
vbb,bga,2,2
vbb,hje,2,2
vbb,hoh,2,2
vbb,fre,2,2
vbb,bsu,2,2
vbb,swe,4,2
vbb,mbb,3,3
vbb,mbe,3,3
vbb,sho,3,3
vbb,jak,3,3
vbb,vrg,4,2
vbb,vfp,4,2
vbb,fbm,5,1
vbb,sne,5,1
vbb,dag,4,2
vbb,aka,4,2
vbb,gbu,6,2
vbb,jkl,6,2
vbb,tbe,6,2
vbb,vze,6,2
vbb,fmi,6,2
vbb,dmo,4,2
vbb,vst,4,2
swe,vbb,4,2
swe,mbb,4,2
swe,mbe,4,2
swe,sho,4,2
swe,jak,4,2
swe,vrg,4,2
swe,vfp,4,2
mbb,vbb,3,3
mbb,mbe,4,2
mbb,sho,4,2
mbb,jak,4,1
mbb,vrg,3,3
mbb,vfp,3,3
mbb,dag,4,2
mbb,dmo,4,2
mbe,vbb,3,3
mbe,mbb,4,2
mbe,sho,4,2
mbe,jak,4,2
mbe,vrg,3,3
mbe,vfp,3,3
mbe,dag,4,2
mbe,dmo,4,2
sho,vbb,3,3
jak,vbb,3,3
jak,mbb,4,2
jak,mbe,4,2
jak,sho,4,2
jak,vrg,3,3
jak,vfp,3,3
jak,dag,4,2
jak,dmo,4,2
vrg,thi,2,2
vrg,she,2,2
vrg,jro,2,2
vrg,osc,2,2
vrg,cvo,2,2
vrg,wpo,2,2
vrg,rad,2,2
vrg,bga,2,2
vrg,hje,2,2
vrg,hoh,2,2
vrg,fre,2,2
vrg,bsu,2,2
vrg,vbb,4,2
vrg,swe,3,3
vrg,mbb,3,3
vrg,mbe,3,3
vrg,sho,3,3
vrg,jak,4,2
vrg,vfp,4,2
vrg,fbm,5,1
vrg,sne,5,1
vrg,dag,4,2
vrg,aka,4,2
vrg,gbu,6,1
vrg,jkl,6,1
vrg,tbe,6,1
vrg,vze,6,1
vrg,fmi,6,1
vrg,dmo,4,2
vrg,vst,4,2
vfp,thi,2,2
vfp,she,2,2
vfp,jro,2,2
vfp,osc,2,2
vfp,cvo,2,2
vfp,wpo,2,2
vfp,rad,2,2
vfp,bga,2,2
vfp,hje,2,2
vfp,hoh,2,2
vfp,fre,2,2
vfp,bsu,2,2
vfp,vbb,4,2
vfp,swe,3,3
vfp,mbb,3,3
vfp,mbe,3,3
vfp,sho,3,3
vfp,jak,4,2
vfp,vrg,4,2
vfp,fbm,5,1
vfp,sne,5,1
vfp,dag,4,2
vfp,aka,4,2
vfp,gbu,6,1
vfp,jkl,6,1
vfp,tbe,6,1
vfp,vze,6,1
vfp,fmi,6,1
vfp,dmo,4,2
vfp,vst,4,2
fbm,vbb,5,1
fbm,vrg,5,1
fbm,vfp,5,1
sne,vbb,4,2
sne,mbb,3,3
sne,mbe,3,3
sne,sho,3,3
sne,jak,3,3
sne,vrg,3,3
sne,dag,4,2
sne,dmo,4,2
wku,thi,5,1
wku,cvo,5,1
wku,vbb,6,1
wku,swe,6,1
dag,vbb,4,2
dag,mbb,4,2
dag,mbe,4,2
dag,vrg,4,2
dag,dmo,4,2
aka,hje,2,2
aka,vbb,4,2
aka,mbb,4,2
aka,mbe,4,2
aka,dag,4,2
aka,dmo,4,2
gbu,vbb,4,2
gbu,mbb,3,3
gbu,mbe,3,3
gbu,sho,3,3
gbu,jak,3,3
gbu,vrg,3,3
gbu,wku,4,2
gbu,dmo,4,2
jkl,thi,5,1
jkl,she,5,1
jkl,jro,5,1
jkl,osc,5,1
jkl,cvo,5,1
jkl,wpo,5,1
jkl,rad,5,1
jkl,bga,5,1
jkl,hje,5,1
jkl,hoh,5,1
jkl,fre,5,1
jkl,bsu,5,1
jkl,vbb,6,1
jkl,gbu,5,1
jkl,tbe,5,1
jkl,vze,5,1
jkl,fmi,5,1
jkl,tlo,5,1
tbe,thi,5,1
tbe,she,5,1
tbe,jro,5,1
tbe,osc,5,1
tbe,cvo,5,1
tbe,wpo,5,1
tbe,rad,5,1
tbe,bga,5,1
tbe,hje,5,1
tbe,hoh,5,1
tbe,fre,5,1
tbe,bsu,5,1
tbe,vbb,6,1
tbe,gbu,5,1
tbe,jkl,5,1
tbe,vze,5,1
tbe,fmi,5,1
tbe,tlo,5,1
vze,thi,5,1
vze,she,5,1
vze,jro,5,1
vze,osc,5,1
vze,cvo,5,1
vze,wpo,5,1
vze,rad,5,1
vze,bga,5,1
vze,hje,5,11
vze,hoh,5,1
vze,fre,5,1
vze,bsu,5,1
vze,vbb,6,1
vze,gbu,5,1
vze,jkl,5,1
vze,tbe,5,1
vze,fmi,5,1
vze,tlo,5,1
fmi,thi,5,1
fmi,she,5,1
fmi,jro,5,1
fmi,osc,5,1
fmi,cvo,5,1
fmi,wpo,5,1
fmi,rad,5,1
fmi,bga,5,1
fmi,hje,5,1
fmi,hoh,5,1
fmi,fre,5,1
fmi,bsu,5,1
fmi,vbb,6,1
fmi,gbu,5,1
fmi,jkl,5,1
fmi,tbe,5,1
fmi,vze,5,1
fmi,tlo,5,1
tlo,hoh,6,1
dmo,fre,6,1
dmo,vbb,3,3
dmo,mbb,4,3
dmo,mbe,4,2
dmo,dag,4,2
dmo,vsd,3,3
dmo,vst,3,3
vsd,vbb,4,2
vsd,swe,3,3
vsd,mbb,3,3
vsd,mbe,3,3
vsd,sho,3,3
vsd,jak,4,2
vsd,vrg,4,2
vsd,vfp,5,1
vsd,fbm,5,1
vsd,wku,4,2
vsd,dag,4,2
vsd,aka,6,1
vsd,gbu,6,1
vsd,jkl,6,1
vsd,tbe,6,1
vsd,vze,6,1
vsd,tlo,4,2
vsd,vst,4,2
vst,thi,2,2
vst,she,2,2
vst,jro,2,2
vst,osc,2,2
vst,cvo,2,2
vst,wpo,2,2
vst,rad,2,2
vst,bga,2,2
vst,hje,2,2
vst,hoh,2,2
vst,fre,2,2
vst,bsu,2,2
vst,vbb,4,2
vst,swe,3,3
vst,mbb,3,3
vst,mbe,3,3
vst,sho,3,3
vst,jak,4,2
vst,vrg,4,2
vst,vfp,5,1
vst,fbm,5,1
vst,wku,4,2
vst,dag,4,2
vst,aka,6,1
vst,gbu,6,1
vst,jkl,6,1
vst,tbe,6,1
vst,vze,6,1
vst,tlo,4,2
vst,vsd,4,2
dfl,vbb,3,3
dfl,mbb,4,2
dfl,mbe,4,2
dfl,sho,4,2
dfl,jak,4,2
dfl,vrg,3,3
dfl,vfp,3,3
dfl,dag,4,2
dfl,dmo,4,2
dfl,vsd,3,3
dfl,vst,3,3
kcl,vbb,4,2
kcl,vfp,4,2
kcl,vst,4,2
fpl,cvo,2,2
fpl,vbb,3,3
fpl,mbb,4,2
fpl,mbe,4,2
fpl,sho,4,2
fpl,jak,4,2
fpl,vrg,3,3
fpl,vfp,3,3
fpl,dag,4,2
fpl,dmo,4,2
fpl,vst,3,3